age_group,year,mortality_rate,data,exp_life_span
0-4,1931,0.0132887534664028,projected,75.2516029835487
5-9,1931,0.001287707484697564,projected,776.5738817887386
10-14,1931,0.0010470534551412158,projected,955.0610764806944
15-19,1931,0.001775536461773048,projected,563.2100615953567
20-24,1931,0.0012610840126447377,projected,792.9685809772548
25-29,1931,0.00101185159046368,projected,988.287224554098
30-34,1931,0.0011000825741175107,projected,909.0226711410303
35-39,1931,0.0015742884628472838,projected,635.207602418291
40-44,1931,0.0031511449667809294,projected,317.34496842954064
45-49,1931,0.007804866488159269,projected,128.12518977961966
50-69,1931,0.05845177509961668,projected,17.108120297386108
70-89,1931,0.25531198456042503,projected,3.916776573264733
0-4,1932,0.012856626793258906,projected,77.78089977102924
5-9,1932,0.001244293340207339,projected,803.6690125122491
10-14,1932,0.001017196316234819,projected,983.0943978459618
15-19,1932,0.001735936557539662,projected,576.0579185090135
20-24,1932,0.0012445738163516116,projected,803.487898316418
25-29,1932,0.0010034122008072287,projected,996.5994027135771
30-34,1932,0.0010935516940603783,projected,914.4515119234838
35-39,1932,0.0015645029919305756,projected,639.1806248743657
40-44,1932,0.0031193193123634486,projected,320.5827617700091
45-49,1932,0.0076761946243073574,projected,130.27288245576923
50-69,1932,0.05695796871130868,projected,17.55680588028863
70-89,1932,0.2508932360682442,projected,3.985759104832922
0-4,1933,0.01243855211243427,projected,80.39520926236618
5-9,1933,0.0012023428728054576,projected,831.7095086750705
10-14,1933,9.881905653251848e-4,projected,1011.9505640806528
15-19,1933,0.0016972198525246843,projected,589.1988586584459
20-24,1933,0.00122827977265332,projected,814.1467622151002
25-29,1933,9.950432002260577e-4,projected,1004.9814920325231
30-34,1933,0.0010870595859966618,projected,919.9127746830529
35-39,1933,0.0015547783455979998,projected,643.1784973281059
40-44,1933,0.003087815087867402,projected,323.8535895265184
45-49,1933,0.007549644058567623,projected,132.45657573288662
50-69,1933,0.05550233836679012,projected,18.017258901624064
70-89,1933,0.2465509639634558,projected,4.0559565613713104
0-4,1934,0.01203407247808312,projected,83.09738883667482
5-9,1934,0.0011618067356570214,projected,860.7283546471118
10-14,1934,9.600119247505013e-4,projected,1041.6537276449885
15-19,1934,0.0016593666486789782,projected,602.6395678110682
20-24,1934,0.0012121990516656212,projected,824.9470238620883
25-29,1934,9.867440016371994e-4,projected,1013.4340805120744
30-34,1934,0.0010806060197479687,projected,925.4066530493985
35-39,1934,0.0015451141457757736,projected,647.2013752083787
40-44,1934,0.0030566290469433814,projected,327.1577887411613
45-49,1934,0.007425179818992409,projected,134.67687306941195
50-69,1934,0.054083908430709586,projected,18.489787979749376
70-89,1934,0.24228384465005987,projected,4.127390340219916
0-4,1935,0.011642745803427439,projected,85.89039191301556
5-9,1935,0.0011226372456207372,projected,890.7596856427762
10-14,1935,9.326368091359817e-4,projected,1072.228749931525
15-19,1935,0.001622357687280256,projected,616.3868842489443
20-24,1935,0.0011963288605533191,projected,835.890559003555
25-29,1935,9.78514022854277e-4,projected,1021.9577610988644
30-34,1935,0.0010741907665024104,projected,930.9333418085716
35-39,1935,0.0015355100167401443,projected,651.2494149162108
40-44,1935,0.00302575797602917,projected,330.4956998947888
45-49,1935,0.007302767510185487,projected,136.93438803922714
50-69,1935,0.05270172820126796,projected,18.97470982699085
70-89,1935,0.2380905774398642,projected,4.200082215570145
0-4,1936,0.01126414437756638,projected,88.77727117841242
5-9,1936,0.0010847883271585341,projected,921.8388278747187
10-14,1936,9.060423056530281e-4,projected,1103.7012220740091
15-19,1936,0.0015861741391347897,projected,630.4478022479108
20-24,1936,0.0011806664430451914,projected,846.9792682688483
25-29,1936,9.703526865466625e-4,projected,1030.5531317266177
30-34,1936,0.0010678135988064909,projected,936.4930369099186
35-39,1936,0.001525965585102785,projected,655.3227738308676
40-44,1936,0.0029951986940186014,projected,333.8676669420949
45-49,1936,0.007182373303796601,projected,139.2297445012222
50-69,1936,0.05135487127300947,projected,19.47234946192084
70-89,1936,0.23396988415601305,projected,4.274054345101918
0-4,1937,0.010897854397998653,projected,91.7611819243654
5-9,1937,0.0010482154581364894,projected,954.002340108391
10-14,1937,8.802061548413144e-4,projected,1136.097486367023
15-19,1937,0.0015507975949975395,projected,644.8294756361075
20-24,1937,0.0011652090789553062,projected,858.2150775005736
25-29,1937,9.622594201989771e-4,projected,1039.2207953580946
30-34,1937,0.001061474290557038,projected,942.0859354730319
35-39,1937,0.001516480479796278,projected,659.4216103159723
40-44,1937,0.0029649480519337644,projected,337.27403734705956
