age_stage,Negative,Positive,<NA>,n,prop_positive,se
child,414,179,1692,593,0.30185497470489037,0.018851445028987696
adult,3531,6206,4661,9737,0.6373626373626373,0.004872108927321915
older adult,1026,1164,1462,2190,0.5315068493150685,0.010663112673758031
