finaloutcome12,age_stage,n,nn,prop,sd
Lost to follow up,child,30,3074,0.009759271307742356,0.01794809918560016
Lost to follow up,adult,506,16621,0.03044341495698213,0.007637619272240911
Lost to follow up,older adult,24,3908,0.006141248720573183,0.015947222569992713
