finaloutcome12,age_stage,n,nn,prop,sd
TBDeath,child,12,3077,0.003899902502437439,0.017992343887769137
TBDeath,adult,356,15771,0.022573077166952,0.007872497525371823
TBDeath,older adult,378,3234,0.11688311688311688,0.016524909357931213
