year,age_group,CoB,population,proportion_age_by_year
2004,35-39,UK born,3446293,0.07741195514989789
2004,35-39,Non-UK born,478097,0.0998140870064459
2004,40-44,UK born,3277374,0.07361763178506338
2004,40-44,Non-UK born,460766,0.0961958297450351
2004,45-49,UK born,2861687,0.06428031095935426
2004,45-49,Non-UK born,401105,0.0837401811111981
2004,50-69,UK born,9933946,0.22314010509655086
2004,50-69,Non-UK born,1050513,0.2193195020746888
2004,70-89,UK born,4840632,0.10873213254971661
2004,70-89,Non-UK born,380486,0.07943547587358751
2005,0-4,UK born,2842158,0.06377076720270025
2005,0-4,Non-UK born,59588,0.011597994077214208
2005,5-9,UK born,2877559,0.06456507523544959
2005,5-9,Non-UK born,153611,0.029898292746777064
2005,10-14,UK born,3039089,0.06818939591932859
2005,10-14,Non-UK born,171262,0.03333381992434483
2005,15-19,UK born,2980971,0.06688537642136734
2005,15-19,Non-UK born,201842,0.03928580117696634
2005,20-24,UK born,2793387,0.0626764705143237
2005,20-24,Non-UK born,426564,0.08302488329114589
2005,25-29,UK born,2606685,0.058487354434824064
2005,25-29,Non-UK born,593871,0.11558891623530373
2005,30-34,UK born,2937743,0.06591545049724971
2005,30-34,Non-UK born,606188,0.11798625283074321
2005,35-39,UK born,3377041,0.07577217573582258
2005,35-39,Non-UK born,513475,0.09994092785120436
2005,40-44,UK born,3356681,0.0753153493312923
2005,40-44,Non-UK born,477117,0.09286433745281283
2005,45-49,UK born,2916403,0.06543663539544832
2005,45-49,Non-UK born,428599,0.0834209683745038
2005,50-69,UK born,10000299,0.22438117074645256
2005,50-69,Non-UK born,1086936,0.21155731506865313
2005,70-89,UK born,4840336,0.108604778565741
2005,70-89,Non-UK born,418732,0.0815004909703306
2006,0-4,UK born,2872698,0.06457801261797741
2006,0-4,Non-UK born,83020,0.014948896992160203
2006,5-9,UK born,2819045,0.06337189763095395
2006,5-9,Non-UK born,169275,0.030480300389640065
2006,10-14,UK born,3011013,0.06768732233840592
2006,10-14,Non-UK born,163212,0.029388573547150697
2006,15-19,UK born,3004080,0.06753146907381619
2006,15-19,Non-UK born,218569,0.039356365534563516
2006,20-24,UK born,2809996,0.06316847686198343
2006,20-24,Non-UK born,475155,0.08555821669850495
2006,25-29,UK born,2599968,0.058447064853436564
2006,25-29,Non-UK born,694670,0.12508492259147105
2006,30-34,UK born,2778516,0.0624608090746929
2006,30-34,Non-UK born,672539,0.12109993054939087
2006,35-39,UK born,3301206,0.07421083689359019
2006,35-39,Non-UK born,563505,0.10146685376496307
2006,40-44,UK born,3390512,0.07621842836156249
2006,40-44,Non-UK born,499826,0.09000057080225807
2006,45-49,UK born,2989693,0.06720805050787752
2006,45-49,Non-UK born,450842,0.08118032543651517
2006,50-69,UK born,10079647,0.22658962799109345
2006,50-69,Non-UK born,1112022,0.20023491123844822
2006,70-89,UK born,4827776,0.10852800379460999
2006,70-89,Non-UK born,450952,0.08120013245493408
2007,0-4,UK born,2951847,0.06642044226561701
2007,0-4,Non-UK born,87145,0.014536323878870695
2007,5-9,UK born,2762727,0.06216499337505002
2007,5-9,Non-UK born,176197,0.029390747128181537
2007,10-14,UK born,2938755,0.06612585503594641
2007,10-14,Non-UK born,191795,0.031992589802604915
2007,15-19,UK born,3044029,0.06849465858134378
2007,15-19,Non-UK born,241253,0.040242489468692313
2007,20-24,UK born,2820752,0.06347063223860305
2007,20-24,Non-UK born,528695,0.0881895892264564
2007,25-29,UK born,2623042,0.05902189704320331
2007,25-29,Non-UK born,785476,0.13102224493751607
2007,30-34,UK born,2632501,0.059234736991679804
2007,30-34,Non-UK born,716386,0.1194976064982347
2007,35-39,UK born,3182248,0.07160476798386746
2007,35-39,Non-UK born,645685,0.10770424331549286
2007,40-44,UK born,3409777,0.07672446992243459
2007,40-44,Non-UK born,521843,0.08704663333434529
2007,45-49,UK born,3051956,0.06867302651363821
2007,45-49,Non-UK born,478654,0.07984244156195965
2007,50-69,UK born,10152459,0.228443688600237
2007,50-69,Non-UK born,1153330,0.19238256261653497
2007,70-89,UK born,4871752,0.10962083144837934
2007,70-89,Non-UK born,468523,0.07815252823111062
